section,subsection,highlight,notion,historical,set-theory,category_notion,in_category,logic,Lean,Sage,Hyperpolyglot,Haskell,Python,other1,other2
,,,,,,,,,,,,,,,
// my attemts in this spreadsheet are sometimes desperate ... some notions are related only very distantly,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
types1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,#empty,,Empty type - Wikipedia,,,,,,inductive Empty : Type,,,import Data.Void,,,
,,,,,,,,,inductive False : Prop,,,,,,
,#bottom,,Bottom type - Wikipedia,,,,,,,,,,typing.Never,owl:Nothing,
,,,,,,,,,sorry,,,undefined,,,
,,,,,,,,,,,,error,,,
,,,,,,,,,,,,,,,
,#maybe,,Option type - Wikipedia,,,,,,,,,Maybe a,,,
,,,,,,,,,,,,,,,
,#top,,Top type - Wikipedia,,,,,,,,,,Any,owl:Thing,Variant
,,,,,,,,,,,,,,,
,#unit,,Unit type - Wikipedia,,,,,,,,https://hyperpolyglot.org/ml#unit,(),NoneType ,,
,,,,,,,,,,,https://hyperpolyglot.org/ml#unit,(),None,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
logic1,boolean1,,,,,,,,,,,,,,
,,,,,,,,,,,#arithmetic-logic,,,,
,,,,,,,,,https://leanprover-community.github.io/mathlib_docs/init/core.html#bool,,,,,,
,,,,,,,,,https://github.com/leanprover-community/lean/blob/master/library/init/data/bool/basic.lean,,,,,,
,,,,,,,,,https://raw.githubusercontent.com/leanprover/lean4/master/src/Init/Prelude.lean,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
numbers1,,,,,,,,,,,https://hyperpolyglot.org/ml#arithmetic-logic,,,,
,,,,,,,,,,,,,,,
